p1,p1y,p2,p2y,p3,p3y,p4,p4y,p5,p5y
66,1.0,70,35.327,74,56.335,81,0.28600000000000003,87,1.0
97,1.0,107,77.322,111,165.771,118,0.5489999999999999,123,1.0
133,1.0,139,87.435,142,219.727,142,0.398,153,1.0
162,1.0,170,80.854,173,201.111,181,0.625,186,1.0
196,1.0,205,60.452,208,120.605,218,0.497,222,1.0
234,1.0,241,83.655,245,198.242,250,0.798,255,1.0
264,1.0,272,82.172,276,202.332,282,0.613,286,1.0
294,1.0,303,83.287,308,217.712,313,1.094,317,1.0
329,1.0,335,69.159,338,212.036,346,0.8009999999999999,349,1.0
363,1.0,369,58.777,374,153.564,379,0.649,384,1.0
396,1.0,402,76.63,407,226.196,412,0.713,417,1.0
428,1.0,434,73.109,436,183.533,443,0.6970000000000001,446,1.0
460,1.0,467,74.938,469,167.48,478,0.6779999999999999,484,1.0
498,1.0,504,52.773,508,153.015,515,0.52,521,1.0
530,1.0,539,78.695,542,194.031,549,0.5720000000000001,554,1.0
566,1.0,572,79.64,575,213.379,582,0.52,587,1.0
599,1.0,606,81.617,608,176.208,616,0.8089999999999999,623,1.0
634,1.0,641,72.081,644,172.241,654,0.717,648,1.0
673,1.0,680,58.848,684,139.099,690,0.30100000000000005,695,1.0
708,1.0,714,68.132,720,171.509,724,0.5349999999999999,728,1.0
740,1.0,745,71.197,750,151.001,756,0.78,761,1.0
772,1.0,779,78.788,782,220.459,791,0.623,797,1.0
813,1.0,819,53.157,822,129.272,831,0.484,836,1.0
848,1.0,856,78.843,859,175.964,866,0.987,872,1.0
883,1.0,889,81.42,891,224.915,898,0.767,903,1.0
914,1.0,921,77.3,930,168.701,932,0.5589999999999999,938,1.0
952,1.0,958,64.27,961,145.935,971,0.508,977,1.0
988,1.0,992,31.009,994,21.545,991,0.14400000000000002,995,1.0
